objectid,Geographic ID,State FIPS,County FIPS,Census Tract,Total Population,Total Population for Income,Total Civilian Population,Total Households,Total Families,Total Over 5 Population,Total Over 75 Population,People of Color Population,Single-Parent Family Population,Limited English Proficiency Population,Low-Income Population,Disabled Population,Rent-Burdened Population,Zero-Vehicle Household Population,Percent Over 75,Percent People of Color,Percent Single-Parent Family,Percent Limited English Proficiency,Percent Low-Income,Percent Disabled,Percent Rent-Burdened,Percent Zero-Vehicle Household,Over 75 Reg Mean Plus Half SD,People of Color Reg Mean Plus Half SD,Single-Parent Family Reg Mean Plus Half SD,Limited English Proficiency Reg Mean Plus Half SD,Low-Income Reg Mean Plus Half SD,Disabled Reg Mean Plus Half SD,Rent-Burdened Reg Mean Plus Half SD,Zero-Vehicle Household Reg Mean Plus Half SD,PBA 2035 Equity Priority Community,PBA 2040 Equity Priority Community,PBA 2050 Equity Priority Community,Change PBA 2040 to 2050,Equity Priority Community Class,Shape__Area,Shape__Length
1618,06001403100,06,001,403100,1668,1287,1300,638,306,1616,71,1292,37,347,614,245,130,173,0.0425659472422062,0.774580335731415,0.120915032679739,0.214727722772277,0.477078477078477,0.188461538461538,0.203761755485893,0.27115987460815,0,1,0,1,1,1,1,1,1,1,1,0,Highest,3.52182510141574E-05,0.0240059482952095
1619,06001403300,06,001,403300,4240,4240,4240,2141,843,4199,478,3250,109,1187,1825,835,288,786,0.112735849056604,0.766509433962264,0.129300118623962,0.282686353893784,0.430424528301887,0.196933962264151,0.134516581036899,0.367118169079869,1,1,0,1,1,1,0,1,1,1,1,0,Highest,0.000103628144643153,0.0415421393930041
1621,06001403501,06,001,403501,4644,4599,4644,2723,777,4490,363,3143,7,595,1982,874,363,903,0.0781653746770026,0.676787252368648,0.00900900900900901,0.132516703786192,0.430963252881061,0.188199827734711,0.133308850532501,0.331619537275064,0,0,0,1,1,1,0,1,1,1,1,0,High,6.78988594700058E-05,0.0403556147748269
1644,06001405302,06,001,405302,2454,2454,2454,1401,484,2329,245,1657,86,497,962,440,378,448,0.0998370008149959,0.675224123879381,0.177685950413223,0.213396307428081,0.3920130399348,0.179299103504482,0.269807280513919,0.3197715917202,1,0,0,1,1,1,1,1,1,1,1,0,Higher,2.08146138902521E-05,0.0219649849619985
1645,06001405401,06,001,405401,3890,3866,3866,1730,699,3720,163,3214,108,1103,1627,404,345,370,0.0419023136246787,0.826221079691517,0.15450643776824,0.296505376344086,0.420848422141749,0.104500775995861,0.199421965317919,0.213872832369942,0,1,0,1,1,0,1,1,1,1,1,0,Higher,3.25164278365264E-05,0.0248842763012081
1646,06001405402,06,001,405402,3275,3200,3200,1167,697,3077,140,2815,156,724,1712,270,314,318,0.0427480916030534,0.859541984732824,0.223816355810617,0.235294117647059,0.535,0.084375,0.269065981148243,0.272493573264781,0,1,1,1,1,0,1,1,1,1,1,0,Highest,2.91936389658076E-05,0.0223677775780203
1648,06001405600,06,001,405600,3292,3292,3292,1409,664,3089,91,2464,173,281,968,270,213,176,0.0276427703523694,0.748481166464156,0.260542168674699,0.0909679507931369,0.29404617253949,0.0820170109356015,0.151171043293116,0.124911284599006,0,1,1,0,1,0,1,0,1,1,1,0,High,4.39691552855948E-05,0.0293897220495372
1649,06001405700,06,001,405700,3434,3434,3434,1340,688,3305,66,2968,90,648,1512,385,278,185,0.0192195690157251,0.864298194525335,0.130813953488372,0.19606656580938,0.440302853814793,0.11211415259173,0.207462686567164,0.138059701492537,0,1,0,1,1,0,1,0,1,1,1,0,Higher,5.62153745704563E-05,0.0347946362292379
1650,06001405800,06,001,405800,4645,4598,4645,1351,934,4465,205,3985,289,1278,2318,575,332,186,0.0441334768568353,0.857911733046286,0.309421841541756,0.286226203807391,0.504132231404959,0.123789020452099,0.245743893412287,0.137675795706884,0,1,1,1,1,1,1,0,1,1,1,0,Highest,5.31812697772693E-05,0.0360023223799732
1651,06001405901,06,001,405901,4348,4348,4348,1089,904,4033,141,4181,257,1202,2954,665,320,196,0.0324287028518859,0.961591536338546,0.28429203539823,0.298041160426482,0.679392824287029,0.15294388224471,0.293847566574839,0.179981634527089,0,1,1,1,1,1,1,1,1,1,1,0,Highest,4.62983744000667E-05,0.0273763316137621
1652,06001405902,06,001,405902,2979,2979,2971,923,693,2777,140,2700,110,990,1496,487,229,211,0.0469956361195032,0.906344410876133,0.158730158730159,0.356499819949586,0.502181940248405,0.163917872770111,0.248104008667389,0.228602383531961,0,1,0,1,1,1,1,1,1,1,1,0,Higher,4.96846860187361E-05,0.0298223625975393
1653,06001406000,06,001,406000,3344,3344,3344,1465,667,3290,262,2736,6,1022,1780,610,229,344,0.0783492822966507,0.818181818181818,0.00899550224887556,0.31063829787234,0.532296650717703,0.182416267942584,0.156313993174061,0.23481228668942,0,1,0,1,1,1,1,1,1,1,1,0,Higher,0.000263320306203241,0.0995606882550381
1654,06001406100,06,001,406100,4659,4621,4659,1455,883,4308,96,4024,210,1177,2437,437,341,164,0.0206052801030264,0.863704657651857,0.237825594563986,0.273212627669452,0.527375027050422,0.0937969521356514,0.234364261168385,0.112714776632302,0,1,1,1,1,0,1,0,1,1,1,0,Higher,0.000197842775378376,0.0661186214586223
1655,06001406201,06,001,406201,4858,4737,4812,1493,876,4459,139,4507,365,994,2671,462,410,397,0.0286125977768629,0.927748044462742,0.416666666666667,0.222919937205651,0.563858982478362,0.0960099750623441,0.274614869390489,0.265907568653717,0,1,1,1,1,0,1,1,1,1,1,0,Highest,4.16694847444887E-05,0.0284403260683489
1656,06001406202,06,001,406202,4751,4559,4559,1326,892,4420,209,4269,353,1385,2730,556,383,263,0.0439907387918333,0.898547674173858,0.395739910313901,0.313348416289593,0.59881552972143,0.121956569423119,0.288838612368024,0.198340874811463,0,1,1,1,1,1,1,1,1,1,1,0,Highest,4.01766797040182E-05,0.0266686913031565
1657,06001406300,06,001,406300,4425,4425,4425,1239,948,4166,173,3852,277,838,1966,618,165,219,0.0390960451977401,0.870508474576271,0.292194092827004,0.201152184349496,0.444293785310734,0.139661016949153,0.13317191283293,0.176755447941889,0,1,1,1,1,1,0,1,1,1,1,0,Higher,4.97822647957946E-05,0.0291312983687701
1658,06001406400,06,001,406400,2466,2294,2304,746,455,2398,242,1699,78,354,957,444,154,180,0.0981346309813463,0.6889699918897,0.171428571428571,0.147623019182652,0.417175239755885,0.192708333333333,0.206434316353887,0.241286863270777,1,0,0,1,1,1,1,1,1,1,1,0,Higher,5.78828135076037E-05,0.0301380399500528
1659,06001406500,06,001,406500,6055,5938,6055,1905,1287,5747,145,5587,386,1216,3194,712,512,364,0.0239471511147812,0.922708505367465,0.2999222999223,0.211588654950409,0.537891545975076,0.117588769611891,0.268766404199475,0.191076115485564,0,1,1,1,1,0,1,1,1,1,1,0,Highest,7.62909298828163E-05,0.0387388926737652
1660,06001406601,06,001,406601,5042,5042,5042,1694,1119,4728,201,4316,226,1029,1982,837,287,226,0.0398651328837763,0.856009520031733,0.201966041108132,0.217639593908629,0.393097976993257,0.166005553351844,0.169421487603306,0.133412042502952,0,1,1,1,1,1,1,0,1,1,1,0,Higher,7.51473539821745E-05,0.0355660664504031
1661,06001406602,06,001,406602,2795,2795,2795,944,605,2575,105,2466,138,371,1295,331,210,122,0.037567084078712,0.882289803220036,0.228099173553719,0.144077669902913,0.463327370304114,0.118425760286225,0.222457627118644,0.129237288135593,0,1,1,1,1,0,1,0,1,1,1,0,Higher,4.27590384788346E-05,0.0287814877905315
1665,06001407000,06,001,407000,5924,5795,5795,1946,1375,5639,235,5008,301,1435,2554,645,516,362,0.0396691424713032,0.845374746792708,0.218909090909091,0.254477744280901,0.440724762726488,0.11130284728214,0.265159301130524,0.186022610483042,0,1,1,1,1,0,1,1,1,1,1,0,Higher,8.81317823768768E-05,0.0386874553111599
1666,06001407101,06,001,407101,3737,3737,3737,1035,716,3428,135,3463,113,880,2011,405,162,152,0.0361252341450361,0.926679154401927,0.157821229050279,0.256709451575263,0.538132191597538,0.108375702435108,0.156521739130435,0.146859903381643,0,1,0,1,1,0,1,0,1,1,1,0,Higher,3.78769150302105E-05,0.0260335066820641
1667,06001407102,06,001,407102,4416,4308,4411,1300,948,3988,125,4005,209,606,1718,652,212,182,0.0283061594202899,0.906929347826087,0.220464135021097,0.151955867602808,0.398792943361188,0.14781228746316,0.163076923076923,0.14,0,1,1,1,1,1,1,0,1,1,1,0,Higher,6.75374121783534E-05,0.0408984239611309
1668,06001407200,06,001,407200,6894,6846,6846,1895,1362,6493,354,6206,428,2078,3871,861,451,479,0.051348999129678,0.900203075137801,0.31424375917768,0.320036962883105,0.565439672801636,0.125766871165644,0.237994722955145,0.252770448548813,0,1,1,1,1,1,1,1,1,1,1,0,Highest,7.29563957975188E-05,0.0375611102439048
